,state,xcor,ycor
0,آذربایجان غربی,-409.0,227.0
1,مرکزی,-206.0,97.0
2,تهران,-119.0,167.0
3,آذربایجان شرقی,-348.0,291.0
4,اردبیل,-288.0,352.0
5,گیلان,-200.0,252.0
6,مازندران,-68.0,209.0
7,گلستان,60.0,284.0
8,زنجان,-258.0,225.0
9,قزوین,-195.0,206.0
10,البرز,-143.0,193.0
11,سمنان,55.0,165.0
12,مشهد,272.0,184.0
13,خراسان شمالی,164.0,268.0
14,خراسان جنوبی,246.0,29.0
15,اصفهان,-68.0,68.0
16,قم,-136.0,123.0
17,همدان,-253.0,140.0
18,کردستان,-340.0,175.0
19,کرمانشاه,-359.0,114.0
20,لرستان,-268.0,63.0
21,ایلام,-352.0,39.0
22,یزد,40.0,-7.0
23,چهار محال بختیاری,-160.0,-7.0
24,خوزستان,-238.0,-40.0
25,کهکیلویه و بویر احمد,-148.0,-77.0
26,فارس,-32.0,-158.0
27,کرمان,164.0,-109.0
28,سیستان و بلوچستان,434.0,-278.0
29,بندر عباس,127.0,-254.0
30,بوشهر,-127.0,-183.0
